hygiene articles, whole milk, (126)
other vegetables, tropical fruit, (353)
fruit/vegetable juice, tropical fruit, (135)
whipped/sour cream, tropical fruit, (136)
pip fruit, tropical fruit, (201)
soda, tropical fruit, (205)
sausage, tropical fruit, (137)
tropical fruit, rolls/buns, (242)
domestic eggs, tropical fruit, (112)
tropical fruit, bottled water, (182)
brown bread, tropical fruit, (105)
whole milk, tropical fruit, (416)
curd, tropical fruit, (101)
shopping bags, tropical fruit, (133)
root vegetables, tropical fruit, (207)
yogurt, tropical fruit, (288)
citrus fruit, tropical fruit, (196)
newspapers, tropical fruit, (116)
pastry, tropical fruit, (130)
fruit/vegetable juice, other vegetables, (207)
other vegetables, whipped/sour cream, (284)
other vegetables, long life bakery product, (105)
other vegetables, sugar, (106)
pip fruit, other vegetables, (257)
soda, other vegetables, (322)
other vegetables, frankfurter, (162)
other vegetables, white bread, (135)
other vegetables, butter milk, (102)
other vegetables, sausage, (265)
other vegetables, salty snack, (106)
other vegetables, butter, (197)
other vegetables, rolls/buns, (419)
other vegetables, dessert, (114)
other vegetables, domestic eggs, (219)
other vegetables, frozen vegetables, (175)
pork, other vegetables, (213)
other vegetables, bottled water, (244)
other vegetables, beef, (194)
other vegetables, berries, (101)
other vegetables, brown bread, (184)
onions, other vegetables, (140)
other vegetables, margarine, (194)
other vegetables, whole milk, (736)
other vegetables, curd, (169)
other vegetables, shopping bags, (228)
other vegetables, chicken, (176)
other vegetables, root vegetables, (466)
other vegetables, coffee, (132)
chocolate, other vegetables, (125)
napkins, other vegetables, (142)
other vegetables, yogurt, (427)
other vegetables, hamburger meat, (136)
other vegetables, citrus fruit, (284)
other vegetables, newspapers, (190)
other vegetables, cream cheese, (135)
bottled beer, other vegetables, (159)
pastry, other vegetables, (222)
fruit/vegetable juice, soda, (181)
fruit/vegetable juice, rolls/buns, (143)
fruit/vegetable juice, bottled water, (140)
fruit/vegetable juice, whole milk, (262)
fruit/vegetable juice, shopping bags, (105)
fruit/vegetable juice, root vegetables, (118)
fruit/vegetable juice, yogurt, (184)
fruit/vegetable juice, citrus fruit, (102)
soda, whipped/sour cream, (114)
whipped/sour cream, butter, (100)
whipped/sour cream, rolls/buns, (144)
whipped/sour cream, whole milk, (317)
whipped/sour cream, curd, (103)
whipped/sour cream, root vegetables, (168)
whipped/sour cream, yogurt, (204)
citrus fruit, whipped/sour cream, (107)
long life bakery product, whole milk, (133)
whole milk, sugar, (148)
pip fruit, soda, (131)
pip fruit, sausage, (106)
pip fruit, rolls/buns, (137)
pip fruit, bottled water, (104)
pip fruit, whole milk, (296)
pip fruit, root vegetables, (153)
pip fruit, yogurt, (177)
pip fruit, citrus fruit, (136)
pip fruit, pastry, (105)
ham, whole milk, (113)
soda, frankfurter, (111)
soda, white bread, (101)
soda, sausage, (239)
soda, rolls/buns, (377)
soda, domestic eggs, (122)
soda, pork, (117)
soda, bottled water, (285)
soda, brown bread, (124)
soda, canned beer, (136)
soda, margarine, (100)
soda, whole milk, (394)
soda, shopping bags, (242)
soda, root vegetables, (183)
soda, chocolate, (133)
soda, napkins, (118)
soda, yogurt, (269)
soda, citrus fruit, (126)
soda, newspapers, (144)
soda, bottled beer, (167)
soda, pastry, (207)
frankfurter, rolls/buns, (189)
frankfurter, whole milk, (202)
frankfurter, root vegetables, (100)
